sequence	uuid	sample_barcode	sample_name	plate_name	plate_well_position	germplasm_name	number_of_plants	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	Submergence	Submergence.1	Drought
84	7cfbe616-30eb-472b-9579-3d18e4a55d71	166132204701189939303881152209283800433	XBL-167-84	Plate-44401	D11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
85	11bb06a6-fb28-42a1-8434-a4267cca1734	23567970364951591037384789327868466996	XBL-167-85	Plate-44401	E11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
86	d3d67a47-cad1-4bed-8d3e-26498f984e58	281580738780283882351521843017644789336	XBL-167-86	Plate-44401	F11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
87	ae9548e1-b872-4bbb-b854-90eb542e08cd	232060801715408496822533273111095019725	XBL-167-87	Plate-44401	G11	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
88	39f3b3e5-181a-4007-baaf-b4d2f04c0176	77031372598391811965845652134769197430	XBL-167-88	Plate-44401	A12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
89	f2815eda-9450-4a15-ba10-44010561dd40	322344905138843650748484078317263248704	XBL-167-89	Plate-44401	B12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
90	f3042d70-0ea2-48cd-8523-9e5f8fdcbf32	323024093749684042270753514114535702322	XBL-167-90	Plate-44401	C12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
91	16d8bb53-d52b-4189-9d1d-b32e1f70ceb3	30368351481217643912492296300412325555	XBL-167-91	Plate-44401	D12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
92	f4844001-65de-4a46-916a-a0a4abccaef8	325018312341815584737446899685037747960	XBL-167-92	Plate-44401	E12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
93	a7d0373f-e499-4a62-a54a-c2af671ee5f4	223062193637306533326675619528786765300	XBL-167-93	Plate-44401	F12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
94	6485acd4-3576-4a97-bd0e-9ad72d874c1b	133616880448044711497774649339091045403	XBL-167-94	Plate-44401	G12	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
95	ad2156e7-beaf-4306-92e9-d9f5b09e20a4	230129551715067580567127743299760038052	XBL-167-95	Plate-44402	A01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
96	72ccb3c4-02cf-4616-9df6-480cba830194	152594866159529969439237734216834941332	XBL-167-96	Plate-44402	B01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
97	6b36e63d-17cc-4c27-b6b9-165760f884d8	142512449373838768072504720775909508312	XBL-167-97	Plate-44402	C01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
98	49b050f8-bf00-4ca6-93cb-de849cd81b07	97949130239865582904327894593661573895	XBL-167-98	Plate-44402	D01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
